,type,leaf,stem,root,seed
CIS_ACONITATE_c,,0.0,0.0,0.0,0.0
CIT_c,,0.0,0.0,0.0,0.0
MYO_INOSITOL_c,,0.0018655330808306327,0.00022634539514421534,0.0009605149034952827,0.0
pHIS_b,protein,0.0,0.0,0.0,0.0
pILE_b,protein,1.924072964221579,2.6556954862329825,0.6997559365981111,0.0
pTHR_b,protein,4.360934197403676,7.551510200625996,1.6677033573318136,0.0
pARG_b,protein,0.0,0.0,0.0,0.0
pASN_b,protein,0.009838920261536058,0.0757452078416009,0.006195311320784838,0.0
pGLU_b,protein,2.2858356864008615,8.138279053597381,1.8464484346419687,0.0
pPHE_b,protein,1.418759483765095,1.8548121187022342,0.5549038921521883,0.0
pGLN_b,protein,0.0,0.0,0.0,0.0
pTYR_b,protein,0.3176847980562126,0.4501670209937119,0.1990805787666864,0.0
pMET_b,protein,0.199553117142437,0.32420072368494246,0.012275439045657727,0.0
pASP_b,protein,2.7585171951585656,9.602418000747038,1.9274782797421137,0.0
pVAL_b,protein,2.4864803733518266,3.6620783609628775,0.9156443098901302,0.0
pLYS_b,protein,0.46836342612376053,0.8006863739040936,0.24910822100848554,0.0
pSER_b,protein,2.4193372050624316,7.470794810822991,1.3360654593571428,0.0
pGLY_b,protein,4.04763123972579,8.504696615538734,1.9022042381516737,0.0
pALA_b,protein,4.135099064148344,9.584720988071139,1.924930099536851,0.0
pLEU_b,protein,3.7055039932784912,5.498532182176017,1.422790606753007,0.0
pPRO_b,protein,2.24075030812871,8.606324346137416,0.513788535671146,0.0
pCYS_b,protein,0.004792980218091755,0.029342507868639164,0.003446197059384382,0.0
pTRP_b,protein,0.007357973292029906,0.17302423692318453,0.003627860099416644,0.0
